nom_entreprise;adresse;code_postal;ville;telephone;email;site_web;note_google;nb_avis;segment;source
Cabinet Médical Convention;"
1 Rue Olivier de Serres, 75015 Paris, France";75015;Paris;01 42 50 18 64;;https://www.doctolib.fr/cabinet-medical/paris/cabinet-medical-convention;4.5;5;Cabinets medicaux & Paramedical;Google Maps
cabinet médical ipso Nation;"
73 Rue de Montreuil, 75011 Paris, France";75011;Paris;01 80 40 77 77;;https://ipsosante.fr/les-cabinets-ipso/paris/nation/;4.8;5;Cabinets medicaux & Paramedical;Google Maps
Cabinet Médical de l’avenue;"
139 Av. de France, 75013 Paris, France";75013;Paris;01 88 33 49 40;;https://www.cabinet-medical-paris-13.fr/;3.0;5;Cabinets medicaux & Paramedical;Google Maps
Centre Médical Europe;"
44 Rue d'Amsterdam, 75009 Paris, France";75009;Paris;01 42 81 93 33;;https://centre-medical-europe.fr/;3.8;5;Cabinets medicaux & Paramedical;Google Maps
Centre Médical Paris République - ELSAN;"
36 Quai de Jemmapes, 75010 Paris, France";75010;Paris;01 59 58 52 30;;https://www.elsan.care/fr/centre-medical-paris-republique/accueil;4.4;5;Cabinets medicaux & Paramedical;Google Maps
Medical Center Paris;"
48 bis Rue des Belles Feuilles, 75016 Paris, France";75016;Paris;06 58 80 18 38;;http://www.medicalcenterparis.com/;4.4;5;Cabinets medicaux & Paramedical;Google Maps
Centre de Santé Haussmann;"
Centre de Santé Haussmann, 2 Bd Haussmann, 75009 Paris, France";75009;Paris;01 48 00 24 00;;http://www.centrehaussmann.com/;3.9;5;Cabinets medicaux & Paramedical;Google Maps
Centre Médical Ramsay Santé Saint-Michel;"
3 Rue Thénard, 75005 Paris, France";75005;Paris;01 53 73 03 03;;https://centremedical.ramsaysante.fr/nos-centres/centre-medical-saint-michel;4.0;5;Cabinets medicaux & Paramedical;Google Maps
Centre de santé du Square de la Mutualité;"
1-3 Sq. de la Mutualité, 75005 Paris, France";75005;Paris;01 55 25 01 90;;http://www.centresante-squaremutualite.fr/;4.6;5;Cabinets medicaux & Paramedical;Google Maps
Centre Médical La Saline;"
68 Rue Pernety, 75014 Paris, France";75014;Paris;01 42 79 01 88;;https://centre-medical-la-saline.fr/;4.8;5;Cabinets medicaux & Paramedical;Google Maps
Dentimad centre dentaire Paris 8;139 Av. de France, 75013 Paris, France;75013;Paris;01 44 07 17 67;;https://dentimad.fr/nos-centres-dentaires/centre-dentimad-paris-8/;4.6;4;Cabinets medicaux & Paramedical;Google Maps
CABINET DENTAIRE RUE DE LA POMPE;"
97 Rue de la Pompe, 75016 Paris, France";75016;Paris;01 41 83 84 00;;http://dentiste-implant.fr/;4.9;4;Cabinets medicaux & Paramedical;Google Maps
Centre Dentaire Paris 10 Gare du Nord : Dentiste et Cabinet d'orthodontie Paris - Dentego;"
10 Rue de Valenciennes, 75010 Paris, France";75010;Paris;01 85 73 03 03;;https://dentego.fr/nos-centres/ile-de-france/paris-10/;4.7;4;Cabinets medicaux & Paramedical;Google Maps
Centre dentaire Paris 10 Lafayette - Dentylis;"
108 Rue La Fayette, 75010 Paris, France";75010;Paris;01 83 75 90 45;;https://dentylis.fr/paris/dentistes-paris-10-lafayette/;4.8;4;Cabinets medicaux & Paramedical;Google Maps
Cabinet dentaire Mexico - Dentiste Paris 16;"
5 Rue Washington, 75008 Paris, France";75008;Paris;01 53 76 09 61;;https://www.cabinetdentaireh.fr/;4.8;4;Cabinets medicaux & Paramedical;Google Maps
DENTEKA - centre dentaire Paris 17;"
202 Bd Malesherbes, 75017 Paris, France";75017;Paris;01 86 90 37 37;;https://centre-dentaire-paris-17-denteka.fr/content/prendre-rendez-vous-au-centre-dentaire-paris-17;4.6;4;Cabinets medicaux & Paramedical;Google Maps
Espace Médico-Dentaire Paris Batignolles - Orthodontie - Implants dentaires-Urgences dentaires-Médecine;"
11 Rue Gilbert Cesbron, 75017 Paris, France";75017;Paris;01 53 80 45 23;;https://www.espace-medicodentaire.com/;4.7;4;Cabinets medicaux & Paramedical;Google Maps
Centre Dentaire Notre Dame de Lorette;"
11 Rue Gilbert Cesbron, 75017 Paris, France";75017;Paris;01 88 40 01 40;;https://www.centre-dentaire-lorette-paris.fr/;4.6;4;Cabinets medicaux & Paramedical;Google Maps
Centre Dentaire et Médical Paris 10 MEDIDENT - Colonel Fabien;"
15 Rue du Puits de l'Ermite, 75005 Paris, France";75005;Paris;01 76 21 08 08;;https://centre-dentaire-paris-5-medident.fr/;4.7;4;Cabinets medicaux & Paramedical;Google Maps
